"Calendar_Year","Sector_General","Sector_Detail1","Sector_Detail2","Sector_GPC","Sector_GPC_Detail","Commodity_Type","Emissions_mtCO2e","Biogenic_Emissions_mtCO2e","Quantity","Quantity_Units"
"2018","Buildings","Commercial & Industrial","PG&E Commercial & Industrial","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","161,027.82","0.00","1,706,871,406.00","kWh"
"2018","Buildings","Commercial & Industrial","PG&E District","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","7,538.21","0.00","79,903,875.42","kWh"
"2018","Buildings","Commercial & Industrial","CleanPowerSF Commercial Green Product","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","47,894.79","0.00","956,197,000.00","kWh"
"2018","Buildings","Commercial & Industrial","CleanPowerSF Commercial SuperGreen Product","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","45,604,000.00","kWh"
"2018","Buildings","Commercial & Industrial","PG&E Commercial & Industrial Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","16,326.27","0.00","72,200,660.47","kWh"
"2018","Buildings","Commercial & Industrial","PG&E Direct Access Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","3,214.57","0.00","14,215,969.59","kWh"
"2018","Buildings","Commercial & Industrial","PG&E District Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","764.28","0.00","3,379,933.93","kWh"
"2018","Buildings","Commercial & Industrial","CleanPowerSF Commercial Green Product Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","2,025.95","0.00","40,447,133.10","kWh"
"2018","Buildings","Commercial & Industrial","CleanPowerSF Commercial SuperGreen Product Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","1,929,049.20","kWh"
"2018","Wastewater","Wastewater (Digester Gas)","Wastewater (Digester Gas)","Stationary","Commercial & Institutional Buildings and Facilities","Sludge gas","113.70","23,077.48","443,201.00","MMBTU"
"2018","Transportation","Public Transportation","Bus - Golden Gate Transit","Transportation","On-Road Transportation - Golden Gate Transit Buses","Renewable Diesel","35.21","3,097.38","331,076.25","gallons"
"2018","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Renewable CNG","65.47","2,975.78","492,130.00","gallons"
"2018","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Renewable Diesel","218.71","9,941.17","1,062,602.00","gallons"
"2018","Transportation","Public Transportation","MUNI","Transportation","On-road Transportation - MUNI Buses","Renewable Diesel","470.10","41,356.43","4,420,547.00","gallons"
"2018","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Renewable CNG","115.66","2,427.95","401,530.00","gallons"
"2018","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Renewable Diesel","2.97","258.07","27,585.00","gallons"
"2018","Transportation","Public Transportation","Ferry","Transportation","Waterborne Navigation - Ferry","Renewable Diesel","11.38","439.71","47,000.00","gallons"
"2019","Buildings","Commercial & Industrial","Steam - NRG","Stationary","Commercial & Institutional Buildings and Facilities","Steam",,"0.00","0.00","mtCO2e"
"2019","Buildings","Commercial & Industrial",,"Stationary","Commercial & Institutional Buildings and Facilities","Electricity",,"0.00","0.00","mtCO2e"
"2019","Buildings","Residential","Other Residential Fuel Usage","Stationary","Commercial & Institutional Buildings and Facilities","LPGas, Liquid fuel, solid fuel","20,500.78","0.00","0.00","mtCO2e"
"2019","Buildings","Commercial & Industrial","Additional Stationary Sources","Stationary","Energy Industries","Gas Oil","130.60","0.00","0.00","mtCO2e"
